firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
ALDI,2020-11-10, Deupty Manager,"Former Employee, more than 3 years","Stalybridge, England, England",4,1.0,3.0,3.0,4.0,3.0,4.0,v,r,r,Great pay but hard work,Met some amazing people here and the pay was great,Really hard work and long hours
AJ-Bell,2016-08-25, SIPP Administrator,"Former Employee, more than 1 year","Manchester, England, England",2,3.0,2.0,,1.0,2.0,2.0,x,r,x,A half decent stop-gap - nothing more,"Friendly colleagues
Free tea bags
Tesco + Subway","Management are detached 
Monotonous
Ambition is frowned upon
Progression impossible"
ALDI,2020-03-10, Store Assistant,"Current Employee, less than 1 year","Leeds, England, England",5,3.0,5.0,,5.0,5.0,5.0,v,v,v,Good place to work,"Learn fast, good pay, friendly","Long hours, hard work, tiring"
ALDI,2021-03-11, Anonymous Employee,"Current Employee, more than 5 years","Birmingham, England, England",4,3.0,4.0,5.0,3.0,4.0,4.0,v,o,v,"If you’re not afraid of hard work and enjoy making good friends who work together, this could be the place for you.","Variety of work, good team ethos.","Stringent targets, shift patterns can be awkward"
ALDI,2021-02-18, Store Assistant,"Current Employee, more than 1 year","York, England, England",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company to work for,"Inclusive environment 
Above minimum wage",Training can be limited to a few days
ALDI,2021-01-27, Deputy,"Current Employee, more than 3 years","Bolton, England, England",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,.,Aldi perks and good money payed,Start times are not ideal
ALDI,2016-07-07, Assistant Store Manager,"Current Employee, more than 5 years","Gloucester, England, England",5,3.0,5.0,,4.0,5.0,4.0,v,o,v,Exciting company to work for.,"- fair treatment 
- fast progression 
- great people development 
- exceptional pay","2:1 degree needed to progress further than store manager level.
48 hour management contract can make work / life balance a struggle."
ALDI,2021-01-19, Deputy Manager,Current Employee,"Irvine, Scotland, Scotland",3,,,,,,,o,o,o,Good Company,Good company going in right direction.,Progression is on a “if your face fits” basis.
ALDI,2020-09-24, Deputy Manager,"Current Employee, more than 3 years","Walsall, England, England",4,2.0,3.0,,4.0,3.0,3.0,v,r,v,Hard work but good pay and progressio,"Decent pay, progression, keep fit","Long hours, early starts, late finishes"
ALDI,2017-02-17, Corporate Buying Assistant,"Current Employee, more than 3 years","Atherstone, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,r,v,The Best Job I have Ever Had,"Everyone is lovely, from colleagues to leaders
Great work-life balance
Suppliers are fairly treated
Business updates are frequent and honest
Incredibly capable colleagues
Great facilities and buildings to work in",Degree requirement for all managers
ALDI,2019-09-09, Customer Service,"Former Employee, more than 1 year","Chelmsford, England, England",3,2.0,1.0,,3.0,4.0,3.0,v,r,r,Customer Service,Pay was good and training was good for a first job,Long hours and they overwork you.
AJ-Bell,2021-04-26, Cash Administrator,"Former Employee, less than 1 year","Manchester, England, England",2,2.0,2.0,3.0,2.0,2.0,2.0,x,r,v,Not for progression,Offices are nice and spacious,Pay and opportunities are rubbish
ALDI,2017-11-05, Deputy Manager,"Current Employee, more than 1 year","Glasgow, Scotland, Scotland",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Supportive Management & Opportunities to Progress,"Job security (Growing company)
Supportive management (worked in 3 stores)
Professionalism
Best pay in retail
Fantastic company looking to constantly improve
Privately held company so they are not solely driven by making maximum profits for shareholders","Work/life balance may not be great (Early starts or late finishes)
Can be a physically demanding job
Every task has a target time (some of which are very ambitious)"
ALDI,2019-07-21, Retail Store Assistant,"Former Employee, less than 1 year","London, England, England",2,2.0,2.0,,2.0,1.0,2.0,x,r,r,Not the worst but not the best,"-One of the highest paying retail job
-You can have more or less shifts if you want
-Flexible rota, not working 5 days a week, day in day out,","-The work can be very difficult and tiring
-The work environment/ culture, can be quite hostile
-A lot of time pressure"
ALDI,2015-05-09, Store Manager,"Current Employee, more than 10 years","Penzance, England, England",1,1.0,3.0,,1.0,1.0,1.0,x,o,o,Store Manager,good money not much more good comments,always second guessing the company
ALDI,2016-01-09, ,Current Employee,"Atherstone, England, England",5,4.0,,,5.0,1.0,4.0,v,r,v,Maintance,"Good pay
40 hour a week contract","Working hours 1400 to 2200 everyday 
Weekend work have to work weekends have the friday off work saturday and sunday then monday off"
AJ-Bell,2019-06-09, Anonymous Employee,Former Employee,"Manchester, England, England",1,3.0,1.0,,1.0,1.0,3.0,x,r,x,Not a professional environment,My manager was very nice and talks from senior management were interesting,"Boring work, low pay, hard to progress, poor culture, role was not as advertised"
ALDI,2021-03-17, Area Manager,"Current Employee, more than 1 year","Cardiff, Wales, Wales",5,3.0,5.0,5.0,5.0,5.0,5.0,o,o,o,Great,Money and car that comes with the job,Hard work and lots expected
ALDI,2021-01-28, Store Assistant,"Former Employee, more than 3 years","Irvine, Scotland, Scotland",5,4.0,4.0,4.0,2.0,4.0,2.0,v,x,v,Also,Good working environment staff all friendly,Higher management don’t really bother with store assistants
ALDI,2021-02-24, Store Leader,Former Employee,"London, England, England",4,3.0,4.0,4.0,4.0,3.0,3.0,o,o,o,deputy store manager,"Good team, fast paced and some good aspects",hours and sometimes management is not very good.
ALDI,2017-08-05, Deputy Manager,Current Employee,"Stockport, England, England",4,3.0,4.0,,2.0,4.0,4.0,v,v,r,"Good,but...",Good pay after 3 years of service but thats about it it is a hard work for that money,No further prospects company seems to be employing externally rather than promoting with in
AJ-Bell,2020-10-14, Admininistrator,"Former Employee, less than 1 year","Manchester, England, England",3,3.0,3.0,3.0,4.0,3.0,3.0,v,v,v,Nice office,"good company to work for, nice office.",started to become like a call centre
ALDI,2020-02-12, Assistant Store Manager,"Current Employee, more than 3 years","Leicester, England, England",3,2.0,3.0,,2.0,4.0,3.0,o,o,o,It pays well,"Pay, flexibility, time back, cinema tickets","Long hours, weekend work, restrictive jobs"
ALDI,2019-05-23, Night Stocker,"Former Employee, less than 1 year","Loughborough, England, England",4,3.0,3.0,,3.0,4.0,3.0,o,o,o,Nightfill Assistant,"Good pay
Flexible hours
Not difficult",Hard to get enough hours
ALDI,2017-11-04, Anonymous Employee,"Former Employee, less than 1 year","Leek, England, England",1,2.0,1.0,,3.0,2.0,1.0,x,r,x,"Good pay, poor management.","Great pay which goes up every year
Plenty of hours available","Unprofessional management
Always ring up asking you to work on your days off
Bullying between other staff members
Early starts/late finishes
Nothing you do is ever good enough
Not bothered about the customers along as they make their money.
Fired for being ill"
ALDI,2014-11-03, Industrial Placement,"Former Employee, more than 1 year","Darlington, North East England, England, England",3,1.0,3.0,,5.0,5.0,2.0,v,r,v,Industrial placement,You are paid well and as a graduate. There is a lot of opportunity for progression  particularly with the growth of the business in the current economimic climate.,"A little political and sometimes backwards. They like to test you so thick skin in required. You don't get a lot of positive feedback, you must take no news as good news. The pay is good but you definitely work hard for it. Not the best organisation to work for if you would like a life."
ALDI,2020-07-17, Area Manager,Current Employee,"Liverpool, England, England",5,,,,,,,o,o,o,Aldi,"Great pay
Leadership experience 
Responsibility
Hard work","Must be willing to work necessary hours
Lots of travel"
ALDI,2019-11-01, Deputy Store Manager,"Current Employee, more than 5 years","Darlington, North East England, England, England",2,1.0,1.0,,3.0,3.0,1.0,x,x,x,Unrealistic expectations and targets,"Reasonably good pay
Responsibility 
Some good staff and banter","Aldi doesn’t seem to know whether it is a discount retailer or full service supermarket. High productivity and unreasonable targets are still expected to be achieved but more and more jobs are being added all the time,
Aldi wants to focus on customer service but stores are run simply to satisfy area managers and directors, and to pass availability audits, with no regard for customers.
Some in store managers and area managers need training on how to speak to staff, some are downright rude and arrogant.
Working hours can be cut or increased without notice and staff are penalised for not coming in on their days off.
Working 10 plus days without a day off"
ALDI,2021-01-28, Manager,"Current Employee, less than 1 year","London, England, England",3,,,,,,,o,o,o,Aldi - decent job for hard working peopleo,Good pay and good benefits,"Long hours, incapable high management, no progression"
AFH-Wealth-Management,2021-05-08, Customer Engagement Executive,"Former Employee, less than 1 year","Birmingham, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,x,x,Awful company to work for.,Horrible experience working here. Would not recommend.,"Awful management 
Micro management
Only care about numbers and money not the happiness of their staff
Happy to go against government guidelines and risk the health and safety of staff members to prematurely make staff go into the office even though people were t pleased with it- when I told them I was unhappy with the 6 days notice they terminated my contract with immediate effect for this reason

They don’t care about their staff at all and if you raise an concerns or voice your own opinion they will get rid of you with no valid reason and will not follow any procedure."
ALDI,2017-04-25, IT Specialist,Former Employee,"Leicester, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,x,x,Horrible experience,"NO PROS WHATSOEVER EXPECT SLAVE LABOUR LIKE WORK NO FUN IN THE JOB BULLIED TO DO WORK, THREATEND WITH WARNINGS HORRIBLE HORRBILE PLACE","Worked at Aldi for 3 months. Be warned its horrible job. it Is heavily demanding with time limits on stacking products and heavy lifting is required A LOT, if you don't meet target times you will be insulted by the managers and threatened to loose your job if you don't work harder. When you are on the tills you are still expected to do pallets on shop floor, (Veg, Meat) if not they will not let you go home until you do, also you do not get paid for the extra 15/20 minutes you have to work extra, which is a normal day to day thing. I would notice managers ignoring me when I would call them and would show arrogance and be annoyed when I did need them. For example to give a customer a refund. Be warned it may look like an appealing job but your better off being a janitor. The work they expect is ridiculous, after training I was told by the manager I am working too slow, I explained I had just finished training but that wasn't good enough. Managers would have a laugh with each other but when I store assitant talks, even for a minute the manager would be on your case saying get back to it. Not to mention you only get 30 min break on a 10 hour shift. It may sound harsh but that's the reality for working for this sh!tty company. As a customer they would think otherwise as your trained to be polite and act interested in what they are saying. I hate Aldi after my experience there and only hope the worse for your company."
AJ-Bell,2018-09-10, Transfers Administrator,"Former Employee, more than 1 year","Royal Tunbridge Wells, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,x,v,Transfers Administrator,"Everything - great team, fair work loads, lots of support and great social / charity culture.",None - only reason I left was they closed the Tunbridge Wells office
ALDI,2017-01-15, Customer Service,Former Employee,"Swindon, Wiltshire, South West England, England, England",4,4.0,4.0,,4.0,3.0,4.0,v,r,v,Customer servjce,A good company who look after their staff and expect a fair days work for a fair days pay. We hard a clean as you go policy which had many benefits.,Job could be tedious at times especially if stuck in a department with people who have no communication skills
ALDI,2021-03-11, Corporate Buying Assistant,"Former Employee, more than 1 year","Birmingham, England, England",2,2.0,3.0,3.0,2.0,3.0,1.0,x,r,r,Overworked and undervalued,Good salary with yearly increments.,Management are too robotic and unrealistic
ALDI,2016-10-29, Warehouse Selector,"Current Employee, less than 1 year","Cardiff, Wales, Wales",4,3.0,4.0,,5.0,5.0,4.0,v,r,v,Warehouse selector,"Very good salary, with exciting benefits and half decent hours","If you are looking to go to work and do basically nothing, don't apply. There is a minimum work load which needs fulfilling and is difficult to keep consistent even when experienced."
ALDI,2016-07-03, Store Assistant,Current Employee,"Warrington, North West England, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Store Assistant,Great company! love working for Aldi!,Can't say anything bad about this company as there isn't anything bad to say!
ALDI,2021-02-12, Store Assistant,Current Employee,"Dagenham, England, England",5,5.0,4.0,3.0,5.0,4.0,5.0,v,o,o,Great,"Brilliant to work for, fast pace",No specific cons of the job
ALDI,2020-01-05, Deputy Manager,"Current Employee, more than 5 years","Neston, North West England, England, England",4,3.0,4.0,,1.0,4.0,3.0,v,r,v,Fantastic facilities,"Really clean facilities 
Secure parking 
Always paid on time and correct
Good rate of pay
Trustworthy colleagues
Positive environment","Lack of opportunities for progression 
Everybody is disposable
Lots of micro-management
AMS (Aldi Management System) is like a script and the bible. You are paid well to follow the script rather than use your experience."
ALDI,2018-09-20, Store Associate,"Current Employee, more than 1 year","Bournemouth, England, England",2,1.0,2.0,,4.0,3.0,1.0,x,x,r,Work life balance,"good pay if you are a student 
Career progression
great benefits","long hours 
transferring to other stores takes forever"
ALDI,2020-12-03, Manager,"Former Employee, less than 1 year","London, England, England",1,1.0,3.0,2.0,2.0,5.0,1.0,x,r,x,No work life balance,Salary and benefits you get to work with some great people,"Unappreciated, too much pressure , overloaded"
ALDI,2019-10-14, Store Associate,"Former Employee, more than 3 years","Peterborough, England, England",3,2.0,3.0,,3.0,3.0,3.0,v,r,v,It’s okay,Pay rises to 10.42 an hour after 3 years,Hard work often working for 2 people
ALDI,2021-01-15, Store Assistant,"Former Employee, less than 1 year","Hunslet, England, England",1,1.0,1.0,1.0,1.0,1.0,1.0,x,r,x,Ask for too much,Stacking selves and scanning items doesn't require much thought.,"Managers will try guilt trip you into working faster even if you are new to the store because ""Aldi is efficient and about pace"". Management will expect you to pick up overtime even if you cannot do it. Many of the managers have a power trip and believe that you have to do all the leg work and will not assist you. They believe getting paid £1 more than minimum wage is enough of a reason to pester you about your work pace even if you are already working as fast as you can. A few members of staff openly expressed derogatory, racist and homophobic slurs and views, when the management were told, no action was taken."
ALDI,2016-02-22, Store Assistant,"Current Employee, more than 3 years","Cleator Moor, England, England",1,3.0,1.0,,1.0,2.0,1.0,x,r,x,Store assistant,I like the work and the fast pace it gives me a scene of achievement when I meet targets and goals,Not treated fairly when I meet all targets required I go that little bit extra but see people less capable being promoted
ALDI,2019-10-22, Assistant Store,"Current Employee, more than 10 years","Liverpool, England, England",4,3.0,3.0,,3.0,3.0,3.0,v,r,v,Great place to work,"Good rates of pay
Nice friendly team
Strong work ethic
If you don't like working extremely hard I wouldn't recommend...luckily I like the hard work,  time flies.","If you work hard it's great...if you don't you will know and not enjoy it at all.
Not enough breaks and waiting far too long to take it.
No appreciation for how hard you work.
Unrealistic productivity targets"
AFH-Wealth-Management,2017-11-10, Anonymous Employee,Former Employee,,4,5.0,5.0,,5.0,4.0,4.0,v,o,v,Such a GREAT place to work,"I worked at AFH for 4 years and cannot fault them. Everyone is so friendly, especially the CEO!
AFH is great for career progression with lots of internal opportunities available. During my time, I worked in 3 different departments with an increased salary in each.  I would totally recommend this company to work at.",ant think of any cons for working at AFH.
AFH-Wealth-Management,2018-12-11, Anonymous Employee,Current Employee,,5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Supremacy,"Great place to have a career. I joined fresh out of university nearly 7 years ago. The company has been on an amazing growth journey, certainly since then which it has been a privilidge to be a part of. The below is a list of the benefits to me personally, and is not exhaustive.

-Scope for career progression to those that demonstrate the hunger and the skills required. It must be noted that you need to be realistic with your ambitions and a career is a career and not an overnight process. AFH reward loyalty, and if you demonstate the right abilities and attributes for more senior positions, combined with becoming an experienced team member and obtaining any examinations (if required), you will find yourself climbing up the career progression scale and experience the benefits that come with that increased responsibility. 
-Full financial support for relevant examinations which are approved by your line manager. I have had many exams and material paid for over the years which has supported me a lot and has always been fully appreciated. 
-The staff. Amazing, friendly people throughout the business and many friends for life who I have met through working there both past and present workers. This makes a working day so much better when you have good people around you.
-Package aside from salary includes pension, a reasonable amount of healthcare (primarily dental and optical) and an annual bonus. There have been sweeteners in the past e.g. share options which for a growing company can be extremely lucrative. There is also a really attractive tiered loyalty bonus scheme which if in it for the long haul can be very welcoming. 
-Social aspect is really good. Christmas party, summer ball, summer BBQ, and annual charity football match to name a few.
-AFH sponsor a charity each year and there are many interesting events throughout the year which staff are invited to join in on from conquering Snowdon, running in Birmingham 10k, skydives, pub quiz or just good old bake offs.
-Compressed working pattern offered to certain workers (not all). A benefit I consume and it’s something that is not easy to put a price on. A working week compressed into 4 days allowing for the same rate of pay, but 3 days off in a working week instead of 2. Something I put a high value on personally.","I genuinely have no cons to working here. You get out what you put in. Over time, if you demonstate the right attributes, skills, attitude and work ethic this will be rewarded."
ALDI,2020-02-04, Store Assistant,"Current Employee, more than 3 years","Romford, England, England",2,1.0,3.0,,3.0,2.0,1.0,x,r,r,Not great,"Very friendly
Progression
Organised 
Good planning
Good management system","Lack of communication
Do not stick to their word or promises 
Same company but take very long to transfer employees from one place to the other on their system then end up messing with their pay.
No empathy from management 
Lack of interest in employees"
AFH-Wealth-Management,2017-03-06, Administrative Support,"Current Employee, less than 1 year","San Juan Capistrano, CA",1,3.0,1.0,,2.0,1.0,1.0,x,x,x,Avoid at all cost,"I can't think of any obvious ones, although I'm not unemployed. Overrated at 1 star.",Disgustingly low wages. Staff are not valued. HR are unhelpful. No positive feel to the place whatsoever.
ALDI,2015-08-13, Stock Assistant,"Former Employee, less than 1 year","Atherstone, England, England",4,4.0,3.0,,3.0,4.0,3.0,x,r,r,Great Place to Work,"The pay at aldi was good, as were the hours - they were fleible to work around me.","While the hours were good, they were also long and the option to change shifts were few and far between."
ALDI,2020-11-20, Assistant Store Manager,"Current Employee, more than 3 years","Hove, England, England",1,1.0,3.0,3.0,1.0,3.0,1.0,x,r,x,Pay Well - Everything Else Bad,Pay - Some good staff - Good Customers,Hours - Knives/Stabbers - How Treated
ALDI,2016-10-16, District Manager,"Former Employee, more than 8 years","Manchester, England, England",3,2.0,2.0,,2.0,2.0,2.0,x,v,v,Nice place to work,Enjoyed and managers was nice.,None that I can think off.
AFH-Wealth-Management,2021-02-24, Manager,"Former Employee, more than 1 year","Birmingham, England, England",3,,,,,,,o,o,o,Close knit,"Friendly, engaged, all staff members can be close to CEO with a 'family' environment","Views itself as a boutique, not able to break out of a mould"
ALDI,2019-08-30, Graduate Area Manager,"Former Employee, less than 1 year","Northampton, England, England",1,1.0,1.0,,1.0,5.0,2.0,x,r,x,Great Car - Terrible Life,Amazing Salary - Great Car - Store Team were great!,"First day they take you for lunch then you drive over to the stores you'll be 'training' in. My 'mentor' told me I wouldn't need the postcode of the stores 1hr away and proceeded to drive off down the M1 at 80mph leaving me inevitably lost and stressed, a great way to start! 

Training is non-existent, they'll drop you into a store and expect you to just know how to do things and complete tasks at the same speed as people with years of experience, just madness. 

I was asked by my 'mentor' to reprimand a Store's Assistant Manager with 10+ years experience on my 4th day. Because I did this tentatively (as I think most people would!) I was told 'you've been here for a while, you need to toughen up'. 

Generally work 60+ hours weeks which was expected given the salary. HOWEVER the way the shifts are spread out  (6am or midday starts) means your sleep pattern is ruined. Once did a shop inventory and worked 6am-11pm then back in at 5am to finish at 5 that afternoon. A healthy 29 hours worked with 6 hours between shifts (2 of which driving!)

As other people elude to the other Area Managers are fine, except from the ones who have been there for a few years. One told me with pride how he had worked a 110hr week which gives you some idea of their mindset.

Once had to drive for 6 hours on my day off as a store manager had locked the key in the safe so backwards and forwards from the head office. Led to me falling asleep whilst driving (you need the days off to catch up!) and nearly crashing which ultimately made my decision to leave much easier."
ALDI,2015-05-06, Assistant,"Former Employee, more than 1 year","Manchester, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,assistant,good money good hours and staff,none really good place to work
ALDI,2020-01-12, Retail Store Assistant,"Former Employee, less than 1 year","Aberdeen, Scotland, Scotland",3,1.0,3.0,,5.0,5.0,2.0,v,r,r,Great money but difficult job,Great money and good opportunities for progression,Constant pressure and managers frown on taking breaks which you are legally entitled to.
ALDI,2020-07-23, Store Assistant,"Former Employee, less than 1 year","Hemel Hempstead, England, England",3,3.0,3.0,,3.0,3.0,3.0,v,o,r,recruitment process,they test you well,very slow process before employed
ALDI,2020-05-04, Corporate Logistics Assistant,Current Employee,"Atherstone, England, England",5,4.0,4.0,,4.0,4.0,4.0,v,v,v,Good job,"Good pay, good colleagues, learn a lot",Pays well but you need to earn it
ALDI,2021-01-09, Deputy Manager,"Current Employee, more than 3 years","Glasgow, Scotland, Scotland",4,3.0,4.0,4.0,4.0,4.0,4.0,v,r,v,Great company to work for,"Good management at the top
Store level management can vary","Can be physically hard
Some managers need retrained"
AJ-Bell,2016-04-26, Property Administrator,"Current Employee, more than 5 years","Manchester, England, England",4,4.0,5.0,,3.0,3.0,4.0,v,v,r,Good company,"some good perks e.g buy holidays, holiday allowance increases per year, small biannual bonus. There is a great socialising with team colleagues too.",Underpaid therefore experienced staff leave making the role harder to do. The company  should increase wages and give people incentives to stay.
ALDI,2019-09-02, Retail Store Assistant,"Former Employee, less than 1 year","Hoddesdon, East of England, England, England",4,4.0,4.0,,4.0,3.0,4.0,x,r,r,Typical Retail Job,"Generally left to your own devices
Not too much interference from high up
Most processes seem to be fairly well thought out, there's very few things you'll have to do day to day that seem pointless","None that I can think of, that aren't just down to the virtue of it being a retail job"
AJ-Bell,2020-01-13, Scrum Master,Former Employee,,4,5.0,5.0,,3.0,4.0,4.0,o,o,o,A great collaborative company,"Collaboration, great benefits, good work /life balance",Not great for the commute
ALDI,2019-05-10, Advisor,Current Employee,"Romford, England, England",5,4.0,5.0,,5.0,4.0,4.0,v,v,r,Advisor,Great store good service,There really isn’t any on my mind
ALDI,2019-11-08, Area Manager,"Former Employee, more than 1 year","Birmingham, England, England",4,1.0,3.0,,4.0,5.0,4.0,x,r,v,Good if you suit the culture,"Good salary, job comes with a car, good status, lots of responsibility early on, opportunities to progress","Long hours (60-70 per week), high stress job, progression opportunities don't come up that often, not much choice when it comes to progression, if you don't accept a promotion because you want to go to another part of the business, then you might be waiting another few years for another opportunity to come up."
ALDI,2020-09-04, Assistant Manager,Current Employee,"Chester-le-Street, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Aldi,Great pay great opportunities for advancement,None that I know of
ALDI,2016-09-06, Assistant Manager,"Current Employee, more than 3 years","Newcastle upon Tyne, England, England",4,2.0,3.0,,2.0,4.0,3.0,v,o,v,ASM,"Pay, like minded colleagues, fast paced","Inconsistent development opportunities
Work life balance"
ALDI,2016-08-25, Store Manager,"Former Employee, more than 1 year","Swindon, Wiltshire, South West England, England, England",1,1.0,1.0,,1.0,3.0,1.0,x,x,r,Store Team,"Large company, good pay, decent benefits","Poor management, chaotic at the best of times, expected to do three peoples job at once"
ALDI,2020-04-18, IT Specialist,"Current Employee, more than 1 year","Atherstone, England, England",5,4.0,5.0,,5.0,4.0,5.0,v,r,v,Great employer,"Salary, apreciation, Responsibility, career I love working here",Not much to be honest. The best place I ever worked.
AFH-Wealth-Management,2019-09-12, Financial Advisor,"Current Employee, more than 1 year","Bromsgrove, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Fabulous company with fabulous people and great values,"I jumped from a bankassurance world into the world of IFA and was very careful about selecting AFH as I interviewed with plenty of companies before choosing this one. 
Everything they told me about themselves was true, as I found out later, and they put their money where their mouth is when they say they put clients first, which is incredibly refreshing after working for banks who say one thing and do another.

Everyone is happy to help and support you where they can, and I am left to do my own thing successfully and build my own business without micromanagement, which for me is crucial! 

AFH look after their staff well,  and it's a pleasure to work for a company who you feel are working in the right way for their staff, themselves and their clients.",Nothing worth mentioning at all.
ALDI,2019-11-06, Area Manager,"Former Employee, less than 1 year","Atherstone, England, England",3,2.0,4.0,,5.0,5.0,4.0,x,v,v,Hard work but progression if desired,Salary & benefits - company performance,Work life balance - hours worked
ALDI,2017-01-03, Deputy Store Manager,"Current Employee, more than 1 year","Edinburgh, Scotland, Scotland",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Best job I ever had(have)😀,Fair good working conditions clearly highlighted job description with guidelines and loads of help from seniors fun to work with them,Honestly can't think of anything right now all ur problems can be solved by talking to the management which is understanding and do anything for u so u can feel better and work better
ALDI,2020-06-28, Area Operations Manager,Current Employee,"Swansea, Wales, Wales",5,,,,,,,o,o,o,Great company,Excellent wage and autonomy levels,Can be highly pressured and stressful
AJ-Bell,2015-07-01, ,"Former Employee, more than 3 years",,3,4.0,1.0,,2.0,2.0,2.0,x,v,x,Average company,"Good team work
Life / work balance","No development
Lack of leadership
Poor low and medium level management
Career progression opportunities only for favorite employees"
ALDI,2016-05-03, Store Assistant,Former Employee,"Birmingham, England, England",2,2.0,4.0,,4.0,4.0,3.0,x,o,r,Only the chosen few will make it,The pay is the best in the retail sector.,"Getting up at 3am to do a 4-8am shift stocking shelves. The work is very physically demanding and you are expected to be constantly on the go. It's not for everyone. Aldi have targets for how fast you unload a pallet, even if you are a starter you are expected to reach the targets. if you're on till you have targets for how fast you work (1000 items per hour) and accuracy (till must be within £1 difference at end of shift)  Also you get test trolleys where the manager tests to see if you are working in the way Aldi expects. Consequently the store where I worked had a high staff turnover."
AJ-Bell,2015-09-25, Pensions Administrator,"Current Employee, more than 1 year","Manchester, England, England",3,4.0,4.0,,3.0,3.0,3.0,v,x,x,Pension admin,Friendly colleagues. It was a good sociable friendly environment to work in. Everyone genuinely wants to help each other.,"Salary was very basic. I felt that for the pressure and amount of work, the salary elsewhere is much higher and a lot more competitive."
